startgg_link,region_event,date,bracket_start_date,top8_start_date,other_url,twitch_url,youtube_url,notes,,
https://www.start.gg/tournament/get-washed-world-warrior-2024-south-africa-5/details,South Africa #5,2024-10-26,2024-10-26T13:00+02:00,2024-10-26T15:00+02:00,,https://www.twitch.tv/randomselectevents,https://www.youtube.com/randomselectevents,,,
https://www.start.gg/tournament/get-washed-world-warrior-2024-south-africa-finals/details,South Africa - Regional Final,2024-11-23,2024-11-23T13:00+02:00,,,https://www.twitch.tv/randomselectevents,https://www.youtube.com/randomselectevents,,,
,,,,,,,,,,
https://www.start.gg/tournament/digital-havoc-world-warrior-2024-us-can-east-1/details,US/Canada East #1,2024-06-21,2024-06-21T19:00-04:00,2024-06-21T22:00-04:00,,https://twitch.tv/incendiumgaming,,,,
https://www.start.gg/tournament/digital-havoc-world-warrior-2024-us-can-east-2/details,US/Canada East #2,2024-07-12,2024-07-12T19:00-04:00,2024-07-12T22:00-04:00,,https://twitch.tv/incendiumgaming,,,,
https://www.start.gg/tournament/digital-havoc-world-warrior-2024-us-can-east-3/details,US/Canada East #3,2024-08-16,2024-08-16T19:00-04:00,2024-08-16T22:00-04:00,,https://twitch.tv/incendiumgaming,,,,
https://www.start.gg/tournament/digital-havoc-world-warrior-2024-us-can-east-4/details,US/Canada East #4,2024-09-06,2024-09-06T19:00-04:00,2024-09-06T22:00-04:00,,https://twitch.tv/incendiumgaming,,,,
https://www.start.gg/tournament/digital-havoc-world-warrior-2024-us-can-east-5/details,US/Canada East #5,2024-10-25,2024-10-25T19:00-04:00,2024-10-25T22:00-04:00,,https://twitch.tv/incendiumgaming,,,,
https://www.start.gg/tournament/digital-havoc-world-warrior-2024-us-can-east-regional-final/details,US/Canada East - Regional Final,2024-11-14,2024-11-14T20:00-04:00,,,https://twitch.tv/incendiumgaming,,,,
,,,,,,,,,,
https://www.start.gg/tournament/super-saturdays-world-warrior-2024-us-midwest-1/details,US Midwest #1,2024-06-22,2024-06-22T14:00-05:00,2024-06-22T17:30-05:00,,https://www.twitch.tv/lowkickesports,https://www.youtube.com/lowkickesports,,,
https://www.start.gg/tournament/super-saturdays-world-warrior-2024-us-midwest-2/details,US Midwest #2,2024-07-27,2024-07-27T14:00-05:00,2024-07-27T17:30-05:00,,https://www.twitch.tv/lowkickesports,https://www.youtube.com/lowkickesports,,,
https://www.start.gg/tournament/super-saturdays-world-warrior-2024-us-midwest-3/details,US Midwest #3,2024-08-17,2024-08-17T14:00-05:00,2024-08-17T17:30-05:00,,https://www.twitch.tv/lowkickesports,https://www.youtube.com/lowkickesports,,,
https://www.start.gg/tournament/super-saturdays-world-warrior-2024-us-midwest-4/details,US Midwest #4,2024-09-21,2024-09-21T14:00-05:00,2024-09-21T17:30-05:00,,https://www.twitch.tv/lowkickesports,https://www.youtube.com/lowkickesports,,,
https://www.start.gg/tournament/super-saturdays-world-warrior-2024-us-midwest-5/details,US Midwest #5,2024-11-23,2024-11-23T14:00-05:00,2024-11-23T17:30-05:00,,https://www.twitch.tv/lowkickesports,https://www.youtube.com/lowkickesports,,,
https://www.start.gg/tournament/super-saturdays-world-warrior-2024-us-midwest-regional-final/details,US Midwest - Regional Final,2024-12-07,2024-12-07T19:00-05:00,,,https://www.twitch.tv/lowkickesports,https://www.youtube.com/lowkickesports,,,
,,,,,,,,,,
,US/Canada West #1,2024-07-24,2024-07-24T19:00-07:00,2024-07-24T21:00-07:00,,https://www.twitch.tv/leveluplive,https://www.youtube.com/levelupseries,,,
,US/Canada West #2,2024-08-21,2024-08-21T19:00-07:00,2024-08-21T21:00-07:00,,https://www.twitch.tv/leveluplive,https://www.youtube.com/levelupseries,,,
,US/Canada West #3,2024-09-18,2024-09-18T19:00-07:00,2024-09-18T21:00-07:00,,https://www.twitch.tv/leveluplive,https://www.youtube.com/levelupseries,,,
,US/Canada West #4,2024-10-23,2024-10-23T19:00-07:00,2024-10-23T21:00-07:00,,https://www.twitch.tv/leveluplive,https://www.youtube.com/levelupseries,,,
,US/Canada West #5,2024-11-20,2024-11-20T19:00-07:00,2024-11-21T21:00-07:00,,https://www.twitch.tv/leveluplive,https://www.youtube.com/levelupseries,,,
,US/Canada West - Regional Final,2024-12-04,2024-12-04T19:00-07:00,,,https://www.twitch.tv/leveluplive,https://www.youtube.com/levelupseries,,,
